source,target,value
inj_mech_other,N26,12.50725
inj_foreign_other,N26,0.0772803
inj_trans_road_other,N26,1.094182
inj_trans_road_pedal,N26,5.500591
inj_trans_road_pedest,N26,25.85442
inj_animal_venom,N26,0.0607434
inj_drowning,N26,0.21035
inj_homicide_gun,N26,0.2785155
inj_poisoning,N26,0.0590982
inj_trans_road_2wheel,N26,12.0457
inj_suicide,N26,0.0635468
inj_mech_gun,N26,0.883051
inj_trans_road_4wheel,N26,41.51973
inj_mech_other,N27,4.212094
inj_trans_road_other,N27,1.337252
inj_trans_road_pedal,N27,14.69517
inj_poisoning,N27,0.05059
inj_homicide_gun,N27,0.2230443
inj_trans_road_4wheel,N27,20.95539
inj_trans_other,N27,2.80662
inj_mech_gun,N27,0.1131964
inj_foreign_eye,N27,0.0092108
inj_foreign_aspiration,N27,0.0295581
inj_drowning,N27,0.1332344
inj_homicide_knife,N27,0.086893
inj_othunintent,N27,10.85262
inj_homicide_other,N27,2.472492
inj_animal_nonven,N27,0.1116017
inj_fires,N27,0.3600264
inj_trans_road_2wheel,N27,3.987773
inj_mech_suffocate,N27,0.3417268
inj_suicide,N27,0.0335523
inj_falls,N27,10.79407
inj_animal_venom,N27,0.0232735
inj_foreign_other,N27,0.0605314
inj_trans_road_pedest,N27,18.54511
inj_trans_road_4wheel,N28,49.28045
inj_fires,N28,1.000514
inj_trans_road_other,N28,2.727998
inj_trans_road_pedest,N28,39.36206
inj_homicide_gun,N28,0.1264998
inj_trans_other,N28,1.752348
inj_foreign_other,N28,0.0467541
inj_homicide_other,N28,1.351694
inj_mech_suffocate,N28,0.3124666
inj_trans_road_pedal,N28,15.35053
inj_othunintent,N28,3.501335
inj_foreign_eye,N28,0.0832938
inj_mech_gun,N28,0.1998821
inj_foreign_aspiration,N28,0.0602892
inj_falls,N28,38.88721
inj_poisoning,N28,0.096607
inj_animal_venom,N28,0.0529679
inj_suicide,N28,0.1434369
inj_animal_nonven,N28,0.2498911
inj_homicide_knife,N28,0.1036799
inj_drowning,N28,0.2561235
inj_trans_road_2wheel,N28,13.82627
inj_mech_other,N28,3.035773
inj_mech_other,N3,8.453022
inj_foreign_other,N3,0.1232177
inj_animal_venom,N3,0.0229309
inj_trans_road_other,N3,0.0328469
inj_suicide,N3,0.0554699
inj_homicide_knife,N3,0.0770331
inj_drowning,N3,0.0479477
inj_foreign_eye,N3,0.0002477
inj_poisoning,N3,0.0062961
inj_trans_road_4wheel,N3,0.7816542
inj_trans_road_pedest,N3,0.7320833
inj_mech_gun,N3,0.1881734
inj_mech_suffocate,N3,0.2182524
inj_falls,N3,0.5926545
inj_homicide_other,N3,0.0544592
inj_trans_road_pedal,N3,0.1420496
inj_trans_road_2wheel,N3,0.1968276
inj_homicide_gun,N3,0.0237152
inj_foreign_aspiration,N3,0.0418138
inj_animal_nonven,N3,0.0854234
inj_trans_other,N3,0.3934138
inj_fires,N3,0.2308528
inj_othunintent,N3,3.73747
inj_trans_road_other,N30,0.000518
inj_foreign_other,N30,93.25976
inj_homicide_other,N30,0.1106182
inj_animal_venom,N30,0.0294153
inj_foreign_eye,N30,0.1111104
inj_foreign_aspiration,N30,0.0789089
inj_poisoning,N30,0.0163696
inj_mech_gun,N30,0.01352
inj_drowning,N30,0.0010191
inj_othunintent,N30,0.2508126
inj_falls,N30,0.0535976
inj_mech_suffocate,N30,0.0001433
inj_homicide_knife,N30,0.0068255
inj_trans_road_4wheel,N30,0.2257288
inj_trans_road_pedal,N30,0.000518
inj_suicide,N30,0.0229528
inj_trans_road_2wheel,N30,0.0210024
inj_mech_other,N30,0.0496353
inj_animal_nonven,N30,0.0879438
inj_trans_other,N30,0.3685761
inj_fires,N30,0.032363
inj_trans_road_pedest,N30,0.0976225
inj_homicide_gun,N30,0.0004917
inj_drowning,N31,0.1275053
inj_othunintent,N31,1.329788
inj_trans_road_other,N31,0.0043497
inj_animal_nonven,N31,0.016696
inj_suicide,N31,0.0329046
inj_poisoning,N31,0.0578197
inj_mech_suffocate,N31,2.000487
inj_trans_road_pedal,N31,0.0164918
inj_falls,N31,0.5054705
inj_homicide_gun,N31,0.0056944
inj_foreign_eye,N31,0.0748439
inj_foreign_aspiration,N31,112.9166
inj_trans_road_2wheel,N31,0.0211328
inj_homicide_knife,N31,0.067387
inj_homicide_other,N31,0.731527
inj_animal_venom,N31,0.0592385
inj_mech_other,N31,0.0492262
inj_trans_other,N31,3.474046
inj_foreign_other,N31,3.42016
inj_trans_road_pedest,N31,0.5781033
inj_trans_road_4wheel,N31,0.2000647
